company_id,roe,opm_percentage,net_profit,eps,profit_before_tax,valuation_score,valuation_rating
CANBK,0.0,-5775.0,1411,5.0,1746,-1309.2,Weak
CANBK,0.0,-13350.0,-3873,-11.0,-6408,-5166.9,Weak
CANBK,0.0,-11590.0,696,2.0,-2111,-3268.2,Weak
CANBK,0.0,-12867.0,-1921,-4.0,-1514,-4436.4,Weak
CANBK,0.0,-18367.0,2957,4.0,3882,-4622.999999999999,Weak
CANBK,0.0,-13657.0,6158,7.0,9145,-2249.7,Weak
CANBK,0.0,-9877.0,11345,12.0,14427,440.4000000000001,Strong
CANBK,0.0,-7745.0,15401,17.0,20000,2296.8,Strong
CANBK,0.0,-8985.0,16571,18.0,21409,2275.8,Strong
CHOLAFIN,0.0,472.0,308,4.0,452,234.0,Strong
CHOLAFIN,0.0,578.0,368,5.0,554,283.8,Strong
CHOLAFIN,0.0,696.0,444,6.0,666,342.0,Strong
CHOLAFIN,0.0,899.0,575,7.0,879,442.2,Strong
CHOLAFIN,0.0,1143.0,718,9.0,1107,558.3,Strong
CHOLAFIN,0.0,1451.0,918,12.0,1401,710.7,Strong
CHOLAFIN,0.0,1888.0,1197,15.0,1832,925.5,Strong
CHOLAFIN,0.0,1699.0,1054,13.0,1588,825.9,Strong
CHOLAFIN,0.0,2094.0,1521,19.0,2048,1084.5,Strong
CHOLAFIN,0.0,2924.0,2154,26.0,2908,1523.3999999999999,Strong
CHOLAFIN,0.0,3515.0,2665,32.0,3615,1854.0,Strong
CHOLAFIN,0.0,4548.0,3420,41.0,4605,2390.3999999999996,Strong
CHOLAFIN,0.0,5175.0,3852,46.0,5180,2708.1,Strong
CIPLA,0.0,2214.0,1545,19.0,2095,1127.6999999999998,Strong
CIPLA,0.0,2147.0,1404,17.0,1880,1065.3,Strong
CIPLA,0.0,2163.0,1229,15.0,1654,1017.5999999999999,Strong
CIPLA,0.0,2480.0,1383,17.0,1727,1158.9,Strong
CIPLA,0.0,2496.0,1035,13.0,1222,1059.3,Strong
CIPLA,0.0,2826.0,1417,18.0,1669,1272.8999999999999,Strong
CIPLA,0.0,3097.0,1492,19.0,2079,1376.6999999999998,Strong
CIPLA,0.0,3206.0,1500,19.0,2178,1411.8,Strong
CIPLA,0.0,4252.0,2389,30.0,3290,1992.2999999999997,Strong
CIPLA,0.0,4553.0,2547,31.0,3493,2130.0,Strong
