company_id,year,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,dividend_payout_ratio,return_on_equity_pct_score,interest_coverage_score,asset_turnover_score,dividend_payout_ratio_score,debt_to_equity_score,overall_score,company_rank
ITC,Mar 2014,33.04695818188493,0.0088849726475015,451.0344827586207,0.8643262828045437,0.5999333407399178,5.9387010231917055,54.18570293712729,0.24418649736953316,28.42499823251961,99.9973285816146,37.75818345436455,83.0
LICI,Mar 2023,77.85997015119071,0.0,444.24675324675326,0.171372620367715,0.0138900463927549,6.174801137970235,54.11494582765302,0.048415605015327504,28.409459205775562,100.0,37.74952435528283,84.0
CHOLAFIN,Mar 2013,15.778688524590164,7.822233606557377,688.0,0.140991880623217,5.194805194805195,5.847722080492954,56.65589492338163,0.03983254260788484,28.54683195592286,97.64811221142034,37.74767874276513,85.0
CHOLAFIN,Mar 2016,15.66757493188011,6.143324250681199,633.0,0.1510989996055792,2.086956521739131,5.847136671683337,56.082560200145934,0.04268797120227165,28.464426877470352,98.15290491013332,37.71794332612704,86.0
LTIM,Mar 2017,30.884223918575067,0.0,410.0,1.4718134480416571,2.9866117404737382,5.927306524465472,53.75794850411758,0.4158116880265466,28.488281371906492,100.0,37.717869617703215,87.0
EICHERMOT,Mar 2019,24.702848172235928,0.020968827091276,414.8571428571428,0.8603670852726794,0.6808896958692692,5.894739565471519,53.80858066149424,0.24306795846017237,28.42714480254199,99.99369536492294,37.673445670578175,88.0
LT,Mar 2021,176.90306681270536,0.1092552026286966,1.996595744680851,12.70119559125724,0.3405309186595465,6.696615795414404,49.50481179760952,3.588298222022039,28.418120137994755,99.96715056212516,37.634999303033176,89.0
DIVISLAB,Mar 2015,24.37070938215103,0.0077231121281464,391.0,0.7071509648127128,3.63849765258216,5.8929896717907475,53.55988741790889,0.19978186553439675,28.50556622563664,99.99767791477248,37.631180619128635,90.0
TCS,Mar 2013,36.51740777253152,0.0086130856638821,375.8333333333333,1.2129130401294,0.2202330207445297,5.956985300696774,53.40178602453177,0.3426680326346235,28.41493042100458,99.9974103290679,37.622756021587136,91.0
DIVISLAB,Mar 2019,19.44803794739112,0.015236452493891,374.8,0.6154803384768541,2.2912047302291203,5.867054274019228,53.39101428124674,0.1738833945495839,28.46984254966516,99.99541890099887,37.579442680095916,92.0
DIVISLAB,Mar 2014,26.07962213225371,0.0060728744939271,339.3333333333333,0.6824797843665769,4.3984476067270375,5.901993183911782,53.02130025365718,0.19281184824004127,28.525716413814727,99.99817408682962,37.52799915729067,93.0
ITC,Mar 2022,24.82267232407333,0.0039868705467936,343.71666666666664,0.7855976993626613,0.5998838934399794,5.895370866398613,53.06699329372111,0.2219443679607649,28.424996921416962,99.99880127945224,37.52162134578994,94.0
TRENT,Mar 2022,1.4805414551607443,1.998730964467005,1.8307692307692307,0.582190007765985,162.85714285714286,5.772391411656751,49.503083177637535,0.16447832448023048,32.72727272727272,99.39904748637967,37.513254625485374,95.0
ITC,Mar 2023,28.16426867182416,0.0044248427445593,329.53846153846155,0.8262632382239518,0.5134260923140114,5.9129762726540065,52.919195888027325,0.23343305654485216,28.42270447972044,99.99866959564994,37.49739585851931,96.0
HDFCLIFE,Mar 2015,30.932703659976383,0.0,333.43037974683546,0.3926618476676911,2.2900763358778624,5.927561942970193,52.95976628527922,0.11093347864131228,28.469812630117964,100.0,37.49361486740174,97.0
ABB,Mar 2019,22.41035856573705,0.0,302.5,1.2509350561033663,6.888888888888889,5.882661442724632,52.63733972688419,0.3534098821980607,28.591750841750834,100.0,37.49303237871154,98.0
ABB,Mar 2019,22.41035856573705,0.0,302.5,1.2509350561033663,6.888888888888889,5.882661442724632,52.63733972688419,0.3534098821980607,28.591750841750834,100.0,37.49303237871154,98.0
ITC,Mar 2024,27.851074395694365,0.0040667319849141,327.9125,0.7723477995509732,0.4047997686858464,5.911326189312302,52.90224642968832,0.21820105170406717,28.419824236290903,99.9987772677504,37.4900750349492,99.0
ITC,Mar 2017,22.57341693060134,0.0009911016310085,315.7142857142857,0.7651078750581416,0.5345041519518946,5.883520525766996,52.775088978570686,0.21615565306434514,28.423263367665385,99.99970200841084,37.459546106695655,100.0
BRITANNIA,Mar 2017,32.826409495548965,0.0463649851632047,255.6,2.203455828668776,3.389830508474576,5.937539048848318,52.148441571979575,0.6225127843680125,28.498972778633792,99.98605957736527,37.438705152238995,101.0
BRITANNIA,Mar 2016,39.4359464627151,0.0626195028680688,244.8,2.403262736119061,3.5151515151515147,5.9723618016159685,52.03585948087147,0.6789615466597368,28.50229568411386,99.98117237971532,37.434130178595275,102.0
BRITANNIA,Mar 2015,55.34136546184739,0.1164658634538152,217.5,2.8134622269960614,4.063860667634253,6.0561604816481855,51.75127697279266,0.7948497001184135,28.51684479042969,99.96498255411169,37.416822899820126,103.0
ITC,Mar 2021,22.17674449434106,0.0044906954778199,294.2241379310345,0.6677919225607029,0.7546887842785623,5.881430632595016,52.55106992526878,0.188662283891973,28.429101596552837,99.99864979590386,37.409782846842496,104.0
DIVISLAB,Mar 2016,26.22874446773818,0.0097833682739343,284.6,0.7709269089424254,2.131438721136768,5.902778844124669,52.45074533514021,0.2177996265620239,28.465606329727105,99.99705846366498,37.4067977198438,105.0
DIVISLAB,Mar 2013,24.07037185125949,0.0131947221111555,272.0,0.6833386428798981,5.48172757475083,5.891407325003517,52.319399562180756,0.1930544900019271,28.554439746300204,99.9960327820201,37.3908667811013,106.0
ICICIPRULI,Mar 2018,24.627319744447824,0.0,280.77272727272725,0.2738138049203562,3.644224830142063,5.8943416392959245,52.410848819688596,0.07735693717189243,28.5057180826174,100.0,37.37765309575476,107.0
ICICIPRULI,Mar 2017,26.256634405245084,0.0,277.0,0.3031561395210877,3.745541022592152,5.902925783978903,52.37152090065673,0.08564663291913811,28.508404496811146,100.0,37.373699562873185,108.0
IRCTC,Mar 2019,28.851540616246496,0.0,191.5,0.7208943716268311,31.71521035598705,5.9165972072404465,51.480246012717615,0.20366460569702935,29.2500245170148,100.0,37.370106468533976,109.0
BAJFINANCE,Mar 2018,15.749621403331652,4.1997097425542655,411.5,0.1503101488242647,0.3605769230769231,5.847568938573592,53.77358490566038,0.042465107784753695,28.418651660839156,98.73728572222488,37.363911267016555,110.0
HDFCLIFE,Mar 2019,22.65154200638072,0.0,276.7647058823529,0.2988386402091986,2.0344287949921758,5.883932132542529,52.36906813178728,0.08442686781961495,28.46303409683691,100.0,37.36009224579727,111.0
CHOLAFIN,Mar 2017,16.70544439274081,5.600511865984179,440.6666666666667,0.1534087195241519,1.6713091922005572,5.8526047508877035,54.07762604677022,0.04334050535290611,28.45340592555077,98.31611070061092,37.3486175858345,112.0
DIVISLAB,Mar 2020,18.83720930232558,0.0053351573187414,260.85714285714283,0.6322822646817489,2.251270878721859,5.863836085665614,52.20324343643431,0.17863021712186755,28.46878369754186,99.99839589406565,37.34257786616586,113.0
ITC,Mar 2019,21.70406317106576,0.0002198136656465,261.0845070422535,0.6738315281785361,0.4362729822374571,5.878940281918401,52.2056135415642,0.1903685725594039,28.420658753316896,99.99993390927682,37.33910301172715,114.0
TCS,Mar 2015,39.61686580428557,0.0070702083539054,235.40384615384616,1.2909244660247143,0.3888334995014955,5.973314986314639,51.93791145787393,0.3647075531526956,28.41940088824435,99.99787422141466,37.33864182140006,115.0
BAJFINANCE,Mar 2019,20.2822764888054,5.157536680712799,419.5384615384616,0.1488090925921454,0.2252816020025031,5.871449511177477,53.857379980594835,0.04204103452565229,28.415064284901575,98.449298736316,37.32704670950311,116.0
